Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
82.5	7.9211	6	-2.01866e-08 1.21432e-08	-3.75711e-06 1.43263e-06	-3.02918e-09 1.27315e-09	-1.45322e-09 8.22444e-10	-5.25117e-12 2.69126e-12	-4.123e-13 1.71772e-13	
83.5	7.13899	5.5	-1.44289e-08 5.42642e-09	-5.73536e-06 2.11303e-06	-2.36366e-09 1.64291e-09	-2.11188e-09 1.07382e-09	-2.85356e-12 2.23766e-12	-1.00406e-12 4.88553e-13	
84.5	6.44976	5	-1.1254e-08 4.93333e-09	-3.97484e-06 1.2953e-06	-1.69933e-09 6.82542e-10	-1.30929e-09 8.92517e-10	-1.14212e-11 1.09563e-11	-8.62169e-13 4.25359e-13	
85.5	5.75018	4.5	-2.02444e-08 8.56514e-09	-1.55775e-06 7.36297e-07	-2.73266e-09 1.64049e-09	-2.26773e-10 9.82122e-11	-4.14869e-12 3.83973e-12	-2.56424e-13 1.07246e-13	
86.5	5.17809	4	-2.50976e-09 8.21552e-10	-2.65586e-06 1.03891e-06	-2.05773e-09 1.67098e-09	-3.39681e-10 1.54997e-10	-2.00761e-12 1.83635e-12	-1.21168e-12 7.58524e-13	
87.5	4.52677	4	-3.06835e-08 1.70055e-08	-3.23971e-06 1.01239e-06	-3.5562e-10 1.23954e-10	-3.00464e-10 1.44296e-10	-2.63846e-13 1.83833e-13	-3.1827e-13 1.24578e-13	
88.5	4.06829	4	-1.85414e-09 1.01928e-09	-1.47801e-06 6.33589e-07	-6.42316e-10 3.22548e-10	-1.16235e-10 7.24957e-11	-2.54248e-14 8.48744e-15	-2.14472e-13 9.48411e-14	
89.5	3.47012	3.5	-1.72724e-09 5.61553e-10	-1.09599e-06 4.15299e-07	-2.45431e-10 1.18006e-10	-7.39383e-12 4.01422e-12	-5.86783e-14 2.87235e-14	-5.31995e-14 2.24358e-14	
90.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
91.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
93.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
94.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
96.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
98.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
99.5	nan	0	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
